WAV D2 the difference between the maximum and minimum values,WAV D3 FFT VMAX,MSE frecuencia,FFT peak2rms,WAV D1 the ratio of the largest absolute value to the root-mean-square (RMS).,FREC MAX WAV D6,WAV D6 FFT VMAX,percentage of energy D1,FFT rms,contrast,WAV D2 the difference between the maximum and minimum values,FREC MAX WAV D6,WAV D3 FFT frec media,WAV D4 the ratio of the largest absolute value to the root-mean-square (RMS).,mode,percentage of energy D3.1,skewness,percentage of energy D4,Valor FFT umbral 10Hz - 20 Hz   ,WAV D2 FFT frec media,Etiqueta
0.0298386806516248,0.117600322131037,0.116506383383937,0.618683226737483,0.168217155349704,0.939393939393939,0.118834935298324,0.0605637076258606,0.151595245199001,0.0028865507436705,0.0298386806516248,0.939393939393939,0.103968974894614,0.241358681425711,0.0,0.0319252626384123,0.2623473098527091,0.67898936795701,0.0955598096679254,0.0623301412597787,1.0
1.0,0.415379498923158,0.455804776645822,0.0101712178724567,0.36393375836548,0.636363636363636,0.0295984332880445,0.124396442620771,0.72692437922673,0.3330062250300974,1.0,0.636363636363636,0.622485623934126,0.148507640139082,0.0,0.373240052042409,0.0096668042776264,0.307058870661517,0.83098420631329,0.977718094472596,0.0
0.0310395892317476,0.0707531041153494,0.0992910668454643,0.487907958443935,0.107214850981423,0.0909090909090909,0.130622082303349,0.0639088962874952,0.162894900512917,0.0674351760563046,0.0310395892317476,0.0909090909090909,0.108542134617357,0.138322594645709,0.0,0.039461388645664,0.0462560535653176,0.722722913990875,0.130341057974402,0.0815537035831591,1.0
0.0394908323447294,0.0853037213787658,0.34589604657459,0.237989171896882,0.0568425197155736,0.727272727272727,0.153485937587741,0.198457399154099,0.233356066895712,0.1699467880899321,0.0394908323447294,0.727272727272727,0.121295828402542,0.144408631541226,0.0,0.0510456508957875,0.0249478428084704,0.419570764860463,0.110566546460174,0.13510956337357,1.0
0.266708190595496,0.236535346127964,0.376016187500788,0.158823880262598,0.0779959715244954,0.560606060606061,0.129889379759159,0.0889743264966581,0.282067257923497,0.0485007527047059,0.266708190595496,0.560606060606061,0.251820278957749,0.431083890714208,0.0,0.168312284580345,0.0712978585701743,0.530258451796299,0.345781674270471,0.291440998648601,1.0
0.0813874176401421,0.143663899331141,0.201446194118488,0.350340531186908,0.125266125891426,0.575757575757576,0.116819890757945,0.0458710846822899,0.28973855667634,0.0027307332041189,0.0813874176401421,0.575757575757576,0.1751452207054,0.237391011267009,0.0,0.0600783548520129,0.2851141150383838,0.750480033779922,0.131173990580946,0.176979300064513,1.0
0.0320382139557269,0.130810775626481,0.079028637387013,0.830100956848887,0.0709134477500532,0.666666666666667,0.132392310487351,0.0194136846804152,0.408869022924897,0.3869144057449961,0.0320382139557269,0.666666666666667,0.140922138191777,0.161272686698879,0.0,0.0065855549288193,0.0136820541478898,0.82540375537436,0.0328553488408058,0.0587151128531904,1.0
0.0627514938963705,0.193030875210059,0.122441965929321,0.361241345127999,0.0953261726980123,0.878787878787879,0.0825325711211009,0.0120157863105877,0.307382660316922,0.5864468048373225,0.0627514938963705,0.878787878787879,0.207773049131797,0.495885885862299,0.0,0.0253252843103414,0.0137784277409821,0.729094292368494,0.13649605101025,0.0902902371410854,1.0
0.0890433280550166,0.154412714419029,0.208968144034055,0.314812305029129,0.138757342824475,0.636363636363636,0.0988992601851874,0.0738426777648986,0.256012546556213,0.0858480198951793,0.0890433280550166,0.636363636363636,0.146823442404438,0.332765543477126,0.0,0.0510771151971946,0.0427645440760452,0.69331236922057,0.127534170589393,0.135465582087137,1.0
0.512171980470346,0.352402682150068,0.302142205842546,0.163155651473829,0.326312883973152,0.757575757575758,0.157859100972932,0.0348985646089786,0.58623027118885,0.4613292641233509,0.512171980470346,0.757575757575758,0.527963605932153,0.159237666580457,0.0,0.141883750271395,0.0115132616829337,0.573736355135699,0.342464610953402,0.476450420012165,0.0
