WAV D2 the ratio of the largest absolute value to the root-mean-square (RMS).,kurtosis tiempo,x_center_mass,MSE tiempo,Energía de las componentes de la senal,72 WAV D4 (RMS) root-mean-square ,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,percentage of energy D1,Tiempo en alcanzar el pico maximo en frecuencia,WAV A6 the difference between the maximum and minimum values,Peak2peak tiempo,percentage of energy A6,Valor FFT umbral 10Hz - 20 Hz   ,WAV D6 the ratio of the largest absolute value to the root-mean-square (RMS).,percentage of energy D3,solidity,RMS tiempo,WAV D4 FFT frec media,Media frecuencia,TIEMPO CRUCES POR CERO,Etiqueta
0.0985935952799797,0.013447266663917,0.50390625,0.907095469233874,0.13942550832638,0.335303533187559,0.237481933923106,0.0605637076258606,0.115646258503401,0.0833209408265838,0.1639975267772841,0.0068796946766219,0.0955598096679254,0.35317730151144,0.158120754105053,0.0,0.2266018057316763,0.194929041966487,0.084059450629597,0.226631720673851,1.0
0.472773915601436,0.0507934511270124,0.1523437500000007,0.351758166165705,0.151848675236928,0.569589520836123,0.699654466442045,0.124396442620771,0.306122448979592,0.0300455936347621,1.0,0.0003961853363883,0.83098420631329,0.131005859339862,0.418242703811342,0.0,0.8735379733318716,0.473211432745306,0.6093623692527322,0.400410763685137,0.0
0.099136511165212,0.015483892124427,0.5377604166666666,0.882480944552528,0.182709020910953,0.338110816880033,0.219859599603724,0.0639088962874952,0.122448979591837,0.2260174897110812,0.1545920031869986,0.0552743880562632,0.130341057974402,0.276320102937941,0.140889560262358,0.0,0.2116652150246919,0.205219901620237,0.0835970497924624,0.259145878990376,1.0
0.0511267345004394,0.0115767160528903,0.5299479166666667,0.910015046928438,0.171113960409493,0.291128025611941,0.258364660152982,0.198457399154099,0.102040816326531,0.0930318763808449,0.1604204681373134,0.0076972306423972,0.110566546460174,0.40629541541056,0.126788486053686,0.0,0.2732956232899617,0.213091174048905,0.0978941695847801,0.48019831622816,1.0
0.284488484016658,0.0265867814055067,0.2513020833333339,0.723574841269581,0.141334191669705,0.43216888562202,0.485033773171574,0.0889743264966581,0.108843537414966,0.1445868645016733,0.3795237095561851,0.0389437488681137,0.345781674270471,0.181170357447336,0.343389388521183,0.0,0.41437100540699,0.289056075665119,0.2007333099950709,0.440031761999236,1.0
0.100708714466443,0.0147057021486103,0.4023437500000002,0.887028978194043,0.207368728393183,0.498421829415123,0.223128591970205,0.0458710846822899,0.122448979591837,0.0841145745765607,0.2779254505023505,0.0205632778776701,0.131173990580946,0.274324913532814,0.158947386312988,0.0,0.3903254063975033,0.330233475186691,0.1817766072499094,0.22856065051555,1.0
0.124289320102533,0.0212033651685824,0.5182291666666655,0.701140714373443,0.255951683023977,0.735451569486414,0.145174468440627,0.0194136846804152,0.115646258503401,0.1417440422648931,0.5339218493897826,0.0027843947904105,0.0328553488408058,0.167767083909115,0.0759993234950175,0.0,0.6413510111577945,0.396437032652604,0.2639928413202124,0.169576679380781,1.0
0.105035407814895,0.0452195991125596,0.51171875,0.675335671033096,0.214707116994562,0.641195168712245,0.250069315579808,0.0120157863105877,0.122448979591837,0.0718285608401081,0.7574695700569083,0.0059474587370042,0.13649605101025,0.166926204629663,0.253530593274237,0.0,0.5816264540509349,0.33604674943308,0.2475830674288773,0.172038074230866,1.0
0.21631245957098,0.0207766340205797,0.5624999999999989,0.859912546150881,0.281650633829518,0.402714765702527,0.231518132013723,0.0738426777648986,0.142857142857143,0.1631957298694149,0.3130622538875625,0.01925828039748,0.127534170589393,0.128036251829387,0.158831226052789,0.0,0.3048239537749437,0.291185129098199,0.1118031632340062,0.278888183658072,1.0
0.31500588676039,0.007179320380666,0.3098958333333327,0.498051789227814,0.0996764330663032,0.822995671684605,0.486712090725801,0.0348985646089786,0.197278911564626,0.1429100422357873,0.3013516125317628,0.0014972678029384,0.342464610953402,0.354197820064015,0.422879160218032,0.0,0.9303174134502242,0.546181232308185,0.563827469583027,0.11855867703356,0.0
0.225459443097465,0.0325803796963883,0.2760416666666662,0.312059730596108,0.218522883673411,0.769391219263507,0.545286929641308,0.023009708017485,0.204081632653061,0.0550381598590775,0.7255191033214884,0.0011706293611155,0.620720895960771,0.900176204677529,0.543201060323801,0.0,1.0,0.600586197432342,0.6721241897363475,0.229992734791964,0.0
0.0668285729282437,0.0109170166300766,0.5794270833333333,0.912695932243843,0.16990578318746,0.308213619419897,0.187892523787428,0.0916996240780441,0.129251700680272,0.0991117380440911,0.1527867336469612,0.0190249849620613,0.163572962788073,0.686582128382673,0.102055506689325,0.0,0.2225724155466388,0.204857227965194,0.0718386905445586,0.32798821599224,1.0
0.455685508148654,0.0514922335587548,0.484374999999999,0.290542229395025,0.148857763022828,0.648153408318894,0.43552340532188,0.0131100987804121,0.183673469387755,0.1002384495651693,0.6299556547285066,0.0069324661551766,0.36358440525286,0.365552038866031,0.484749105578699,0.0,0.720396482154322,0.38587822268138,0.341186669692076,0.187272932648112,0.0
0.171120363120603,0.0219589870209417,0.4752604166666667,0.636757316549532,0.240154901937993,0.564578079208605,0.157761850097329,0.0190888599725821,0.122448979591837,0.0721566257733865,0.3772076183623619,0.002631567458782,0.0506441154672226,0.227725514720126,0.140870566851913,0.0,0.5105126296941079,0.343598792738847,0.1200887114321595,0.214300747507861,1.0
0.111227870369379,0.0120190311757813,0.5768229166666666,0.895949610127695,0.150395140910162,0.322925530975923,0.199719788953001,0.129769618504436,0.108843537414966,0.0880888298524948,0.1589199485354018,0.0059627205086217,0.126499254231061,0.497453174149578,0.104941367172821,0.0,0.2096797450647302,0.194149292129014,0.0595598417993934,0.394834775970592,1.0
0.210306479924085,0.0134393360683307,0.5416666666666656,0.904643160160609,0.0268866954336032,0.263099103011028,0.138914321430109,0.19980390145003,0.115646258503401,0.2535189299823035,0.1880767006628373,0.0329571192696033,0.0673307752349591,0.412743615575574,0.0405643712184056,0.0,0.1965996445402762,0.0760771583771573,0.0527539925591572,0.467769870543573,1.0
0.296108976351372,0.0189982204693217,0.5325520833333334,0.903126841653434,0.0030622491856198,0.190403961822724,0.544697112106209,0.421356185667365,0.115646258503401,0.1140816703440705,0.1602540875592392,0.0087379107682396,0.199400100725363,0.718875487674986,0.20015164014418,0.0,0.1042208974119877,0.0700847105462321,0.0358914783553302,0.680526448151563,1.0
0.080574803051335,0.0196589150209642,0.4830729166666667,0.802479468166998,0.361990087387395,0.441020560764461,0.150978547595947,0.064324118455019,0.108843537414966,0.1747333004388517,0.3384509818891849,0.019441082944555,0.0516609874023472,0.285618991888608,0.0711257210518252,0.0,0.4582178574555635,0.281139313293005,0.3026592633969691,0.277854498766827,1.0
0.169599315928912,0.0294649090927728,0.4830729166666667,0.616626561515532,0.362767529026113,0.758444745776968,0.159440167651555,0.0049863435605551,0.102040816326531,0.0486248459649754,0.6453929494713561,0.0005670720397583,0.0415462528057979,0.341218138194062,0.106077885160983,0.0,0.7120161749710407,0.482548082624432,0.5763207006654533,0.117541571723607,1.0
0.0742201643074733,0.0106914181946365,0.5260416666666655,0.94241935575415,0.13983619056503,0.249590778387818,0.261720476170389,0.153980100812871,0.129251700680272,0.0276893777946423,0.1238066212511319,0.0044315364656867,0.127523817259004,0.169273497392507,0.13424499597821,0.0,0.1549403562248982,0.154869781385502,0.0275189338595853,0.384362995764154,1.0
0.15953784919465,0.0139976015623727,0.5859374999999989,0.898356480500855,0.113750989243311,0.232987744653774,0.166153437868463,0.223668575678377,0.102040816326531,0.0858121449542639,0.0803121369697674,0.0319724766313122,0.104952157940012,0.448919543166324,0.0628885911485773,0.0,0.1174868813360195,0.124579438599051,0.0440493498452677,0.525615846137265,1.0
0.134295221982099,0.015312424829029,0.5833333333333321,0.884896167873084,0.120868916234183,0.296934520875572,0.313006223863317,0.109089456987999,0.122448979591837,0.1579561583043765,0.2201904437285672,0.138706410711285,0.161020994440346,0.472489022350091,0.157823825735583,0.0,0.2320336133067007,0.186318647767533,0.0801719407818559,0.350554248294658,1.0
0.0701926772168448,0.0150098218953408,0.5494791666666656,0.901007660403672,0.177097166975938,0.3671476093309,0.134265404338152,0.0996258407341911,0.129251700680272,0.1245278494562604,0.1873940506849702,0.0402170223483485,0.143231896257903,0.472035805568843,0.102912659667021,0.0,0.2391208699890149,0.215644195325147,0.05637299741453,0.320580391346474,1.0
0.0620002140632253,0.0060559666619998,0.4869791666666656,0.950134120078625,0.197431560127095,0.416089843312469,0.114064571404467,0.0547153392511743,0.102040816326531,0.1047427317999911,0.1553837298939712,0.0415852902474286,0.0479431903760847,0.273253870920153,0.0371809964563998,0.0,0.3442991389708195,0.336807456485624,0.1217114320891339,0.214776839355073,1.0
0.0673705964233554,0.0083301552017476,0.48046875,0.938111483629933,0.276011461610924,0.59392316598092,0.142589007552429,0.0158985096314294,0.102040816326531,0.2100862728066527,0.2480124424881998,0.032737276383156,0.0419037211592713,0.985807979467606,0.0911972130138959,0.0,0.5082186090887781,0.548462310360118,0.3269848415277622,0.0775780510879849,1.0
